id;nombre;descripcion;gr;cal
1;Acero;Ladrillo Arquitecto transmit;72262;Personal killer
2;Hogar Acero;Acero Genérico Lilangeni;74498;PCI
3;Plástico;Intranet Ergonómico;96970;Andalucía
4;transicional Colegio;input;67363;Mercado Extrarradio
5;schemas Verde mano;panel;36396;Madera wireless
6;Blanco Electrónica;Loan Toallas;81856;Guapo leverage Buckinghamshire
7;Bebes tolerancia;program Pizza deliver;18720;Azul primary
8;Videojuegos Marroquinería;e-tailers Buckinghamshire Account;81325;Silla
9;productize;Jefe European Manat;74826;haptic Camerún Loan
10;indexing;strategic Blanco;43163;Increible
